"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2014","10,241.50","10,195.90","10,324.10","10,161.90","190.72M","0.47%"
"Aug 13, 2014","10,304.00","10,304.10","10,330.20","10,250.50","183.23M","0.61%"
"Aug 14, 2014","10,294.80","10,274.10","10,339.20","10,210.70","156.13M","-0.09%"
"Aug 15, 2014","10,222.20","10,320.80","10,417.70","10,203.70","197.00M","-0.71%"
"Aug 18, 2014","10,353.40","10,350.40","10,372.20","10,284.10","150.18M","1.28%"
"Aug 19, 2014","10,386.50","10,407.50","10,416.60","10,367.20","119.98M","0.32%"
"Aug 20, 2014","10,420.90","10,390.60","10,428.10","10,338.30","135.51M","0.33%"
"Aug 21, 2014","10,556.40","10,429.80","10,569.30","10,386.70","168.28M","1.30%"
"Aug 22, 2014","10,500.20","10,582.10","10,588.70","10,436.40","155.28M","-0.53%"
"Aug 25, 2014","10,690.10","10,607.10","10,695.70","10,563.60","148.34M","1.81%"
"Aug 26, 2014","10,826.90","10,672.40","10,835.50","10,669.40","215.49M","1.28%"
"Aug 27, 2014","10,837.40","10,821.90","10,883.80","10,787.40","190.91M","0.10%"
"Aug 28, 2014","10,722.20","10,808.50","10,844.40","10,688.00","179.77M","-1.06%"
"Aug 29, 2014","10,728.80","10,742.70","10,785.30","10,614.50","190.47M","0.06%"
"Sep 01, 2014","10,746.50","10,749.20","10,784.10","10,693.90","107.65M","0.16%"
"Sep 02, 2014","10,755.00","10,768.50","10,822.60","10,736.40","168.16M","0.08%"
"Sep 03, 2014","10,886.80","10,799.20","10,927.20","10,783.40","218.74M","1.23%"
"Sep 04, 2014","11,100.10","10,853.80","11,146.60","10,835.40","400.31M","1.96%"
"Sep 05, 2014","11,148.90","11,085.50","11,182.00","11,062.20","269.75M","0.44%"
"Sep 08, 2014","11,102.60","11,158.40","11,163.00","11,043.00","179.76M","-0.42%"
"Sep 09, 2014","10,951.60","11,060.20","11,080.60","10,939.70","204.79M","-1.36%"
"Sep 10, 2014","10,937.80","10,909.90","10,937.80","10,821.30","237.81M","-0.13%"
"Sep 11, 2014","10,886.30","10,951.90","10,963.50","10,823.90","210.04M","-0.47%"
"Sep 12, 2014","10,888.90","10,895.70","10,930.20","10,838.90","153.43M","0.02%"
"Sep 15, 2014","10,841.30","10,849.80","10,894.80","10,815.20","156.41M","-0.44%"
"Sep 16, 2014","10,798.70","10,829.90","10,836.70","10,737.30","258.02M","-0.39%"
"Sep 17, 2014","10,907.40","10,855.00","10,939.20","10,818.10","246.26M","1.01%"
"Sep 18, 2014","10,991.00","10,931.80","11,016.50","10,899.20","262.36M","0.77%"
"Sep 19, 2014","11,001.90","11,108.90","11,191.80","11,001.90","381.04M","0.10%"
"Sep 22, 2014","10,947.90","10,961.90","11,026.50","10,930.50","194.77M","-0.49%"
"Sep 23, 2014","10,801.80","10,918.90","10,918.90","10,781.20","263.28M","-1.33%"
"Sep 24, 2014","10,856.90","10,798.90","10,860.50","10,679.20","256.97M","0.51%"
"Sep 25, 2014","10,783.10","10,847.80","10,948.60","10,733.10","276.50M","-0.68%"
"Sep 26, 2014","10,851.40","10,770.60","10,891.00","10,701.20","203.76M","0.63%"
"Sep 29, 2014","10,686.00","10,828.20","10,852.70","10,625.50","241.84M","-1.52%"
"Sep 30, 2014","10,825.50","10,724.50","10,860.10","10,714.00","277.85M","1.31%"
"Oct 01, 2014","10,753.20","10,793.90","10,889.30","10,734.60","274.95M","-0.67%"
"Oct 02, 2014","10,418.10","10,742.50","10,769.30","10,418.10","406.48M","-3.12%"
"Oct 03, 2014","10,567.60","10,561.00","10,582.00","10,436.40","239.76M","1.44%"
"Oct 06, 2014","10,645.70","10,657.60","10,728.80","10,632.50","198.11M","0.74%"
"Oct 07, 2014","10,430.70","10,610.00","10,610.00","10,422.10","268.33M","-2.02%"
"Oct 08, 2014","10,339.00","10,384.60","10,460.90","10,320.00","327.29M","-0.88%"
"Oct 09, 2014","10,273.70","10,465.30","10,470.80","10,201.00","307.92M","-0.63%"
"Oct 10, 2014","10,150.50","10,186.70","10,290.90","10,102.40","359.00M","-1.20%"
"Oct 13, 2014","10,187.30","10,072.40","10,274.80","10,042.20","239.63M","0.36%"
"Oct 14, 2014","10,204.90","10,138.10","10,236.80","10,016.50","300.59M","0.17%"
"Oct 15, 2014","9,838.50","10,204.70","10,225.60","9,774.90","448.12M","-3.59%"
"Oct 16, 2014","9,669.70","9,897.20","9,942.00","9,370.50","786.59M","-1.72%"
"Oct 17, 2014","9,956.80","9,723.00","9,977.40","9,651.10","436.59M","2.97%"
"Oct 20, 2014","9,915.20","9,898.90","9,958.90","9,802.80","335.39M","-0.42%"
"Oct 21, 2014","10,152.10","9,893.50","10,167.80","9,851.50","368.72M","2.39%"
"Oct 22, 2014","10,249.90","10,169.60","10,249.90","10,067.00","335.12M","0.96%"
"Oct 23, 2014","10,333.70","10,202.70","10,359.00","10,127.00","311.53M","0.82%"
"Oct 24, 2014","10,339.30","10,299.40","10,369.00","10,260.70","278.42M","0.05%"
"Oct 27, 2014","10,195.20","10,469.40","10,474.80","10,093.40","383.78M","-1.39%"
"Oct 28, 2014","10,394.80","10,260.20","10,423.40","10,248.60","276.85M","1.96%"
"Oct 29, 2014","10,247.80","10,406.00","10,441.10","10,204.80","313.34M","-1.41%"
"Oct 30, 2014","10,263.70","10,304.60","10,340.30","9,994.80","358.03M","0.16%"
"Oct 31, 2014","10,477.80","10,448.40","10,513.30","10,324.80","401.75M","2.09%"
"Nov 03, 2014","10,374.40","10,454.30","10,508.80","10,333.30","285.48M","-0.99%"
"Nov 04, 2014","10,154.40","10,361.00","10,455.20","10,140.50","338.02M","-2.12%"
"Nov 05, 2014","10,276.90","10,246.60","10,310.60","10,131.20","312.66M","1.21%"
"Nov 06, 2014","10,261.80","10,242.70","10,463.30","10,175.30","372.89M","-0.15%"
"Nov 07, 2014","10,126.30","10,291.00","10,311.50","10,017.50","319.46M","-1.32%"
"Nov 10, 2014","10,273.00","10,103.90","10,282.40","10,052.20","224.42M","1.45%"
"Nov 11, 2014","10,338.80","10,319.80","10,418.40","10,296.10","246.12M","0.64%"
"Nov 12, 2014","10,157.30","10,307.00","10,342.60","10,136.40","287.99M","-1.76%"
"Nov 13, 2014","10,140.40","10,207.60","10,252.30","10,044.20","288.33M","-0.17%"
"Nov 14, 2014","10,148.00","10,192.30","10,195.10","10,056.80","405.11M","0.07%"
"Nov 17, 2014","10,309.00","10,061.10","10,336.30","10,040.90","355.98M","1.59%"
"Nov 18, 2014","10,432.90","10,320.10","10,466.30","10,296.30","318.10M","1.20%"
"Nov 19, 2014","10,376.80","10,395.80","10,451.80","10,328.90","335.20M","-0.54%"
"Nov 20, 2014","10,209.20","10,351.50","10,351.50","10,132.20","372.10M","-1.62%"
"Nov 21, 2014","10,520.80","10,225.60","10,542.50","10,209.00","432.60M","3.05%"
"Nov 24, 2014","10,642.50","10,558.70","10,715.10","10,528.80","361.46M","1.16%"
"Nov 25, 2014","10,699.60","10,621.90","10,792.30","10,609.40","448.00M","0.54%"
"Nov 26, 2014","10,647.00","10,723.20","10,736.40","10,610.10","230.99M","-0.49%"
"Nov 27, 2014","10,727.60","10,660.40","10,745.40","10,629.10","195.15M","0.76%"
"Nov 28, 2014","10,770.70","10,722.30","10,772.20","10,656.50","228.44M","0.40%"
"Dec 01, 2014","10,672.80","10,700.60","10,757.60","10,648.20","231.09M","-0.91%"
"Dec 02, 2014","10,749.20","10,701.10","10,763.00","10,653.20","228.19M","0.72%"
"Dec 03, 2014","10,875.90","10,776.10","10,903.10","10,754.90","285.48M","1.18%"
"Dec 04, 2014","10,619.90","10,902.70","10,928.30","10,587.00","397.24M","-2.35%"
"Dec 05, 2014","10,900.70","10,756.40","10,906.10","10,718.10","335.92M","2.64%"
"Dec 08, 2014","10,805.20","10,864.60","10,919.30","10,805.20","189.14M","-0.88%"
"Dec 09, 2014","10,461.60","10,704.30","10,707.30","10,461.20","367.39M","-3.18%"
"Dec 10, 2014","10,396.90","10,536.30","10,593.30","10,347.20","272.36M","-0.62%"
"Dec 11, 2014","10,431.80","10,397.40","10,505.80","10,322.70","273.89M","0.34%"
"Dec 12, 2014","10,145.00","10,358.20","10,407.50","10,127.50","293.90M","-2.75%"
"Dec 15, 2014","9,903.90","10,149.60","10,268.20","9,900.30","334.26M","-2.38%"
"Dec 16, 2014","10,081.90","9,954.20","10,095.10","9,661.00","563.12M","1.80%"
"Dec 17, 2014","10,049.50","9,990.70","10,100.50","9,916.90","342.11M","-0.32%"
