"","price","amount"
"398","10350.87000000","0.22624900"
"399","10350.89000000","0.00106300"
"400","10350.92000000","0.03903000"
"401","10350.94000000","0.00831400"
"402","10350.99000000","0.10937400"
"403","10351.00000000","0.16780600"
"404","10351.19000000","0.00488400"
"405","10351.37000000","0.00114200"
"406","10351.50000000","0.00291000"
"407","10351.60000000","0.00097800"
"408","10351.78000000","0.01000000"
"409","10351.84000000","0.06415600"
"410","10352.00000000","0.51336200"
"411","10352.18000000","0.00116500"
"412","10352.28000000","0.00097600"
"413","10352.34000000","0.01456700"
"414","10352.36000000","0.00223800"
"415","10352.46000000","0.00629000"
"416","10352.59000000","0.00324800"
"417","10352.73000000","0.00120100"
"418","10352.76000000","0.00574100"
"419","10352.77000000","0.00106300"
"420","10352.94000000","0.01000000"
"421","10353.00000000","1.99439800"
"422","10353.01000000","0.00245300"
"423","10353.06000000","0.00270300"
"424","10353.12000000","0.40915700"
"425","10353.16000000","0.00400000"
"426","10353.21000000","0.00108700"
"427","10353.23000000","0.00137800"
"428","10353.25000000","0.01228000"
"429","10353.29000000","0.00451200"
"430","10353.33000000","0.05055600"
"431","10353.45000000","0.01017400"
"432","10353.60000000","0.00106900"
"433","10353.77000000","0.00363500"
"434","10353.83000000","0.00106300"
"435","10353.84000000","0.00240000"
"436","10354.00000000","0.00193800"
"437","10354.19000000","0.02670700"
"438","10354.43000000","0.00150000"
"439","10354.48000000","0.01017100"
"440","10354.50000000","0.00537000"
"441","10354.53000000","0.00107300"
"442","10354.54000000","0.05357500"
"443","10354.64000000","0.01303600"
"444","10354.67000000","0.00129000"
"445","10354.78000000","0.00118700"
"446","10354.80000000","0.00101300"
"447","10354.87000000","0.00193400"
"448","10354.89000000","0.00100000"
"449","10354.93000000","0.00300600"
"450","10354.96000000","1.29167100"
"451","10354.98000000","0.00341300"
"452","10355.00000000","0.43392500"
"453","10355.07000000","0.00274000"
"454","10355.15000000","0.02406600"
"455","10355.36000000","0.05409800"
"456","10355.38000000","0.43516300"
"457","10355.49000000","0.39656400"
"458","10355.52000000","0.00219800"
"459","10355.57000000","0.00583000"
"460","10355.67000000","4.12454800"
"461","10355.76000000","0.00386600"
"462","10355.87000000","0.00145400"
"463","10356.00000000","1.40713900"
"464","10356.02000000","0.02735000"
"465","10356.27000000","0.00128000"
"466","10356.34000000","0.00581400"
"467","10356.66000000","0.00097600"
"468","10356.75000000","0.00472500"
"469","10356.78000000","0.00249700"
"470","10356.87000000","0.00166600"
"471","10356.93000000","0.00110600"
"472","10357.00000000","0.00096600"
"473","10357.01000000","0.00102300"
"474","10357.04000000","0.00107500"
