"","price","amount"
"632","10222.72000000","0.02000000"
"633","10222.52000000","0.00119900"
"634","10222.23000000","0.00173800"
"635","10222.22000000","0.00104100"
"636","10222.12000000","0.00880000"
"637","10222.02000000","0.00375100"
"638","10221.92000000","0.01431200"
"639","10221.91000000","0.00168200"
"640","10221.88000000","0.00300000"
"641","10221.85000000","0.01720600"
"642","10221.82000000","0.09782900"
"643","10221.77000000","0.02305200"
"644","10221.72000000","4.50490000"
"645","10221.71000000","0.01434800"
"646","10221.68000000","0.00415400"
"647","10221.67000000","0.03111800"
"648","10221.54000000","0.01433200"
"649","10221.51000000","0.00460000"
"650","10221.44000000","0.00120000"
"651","10221.39000000","0.00151400"
"652","10221.35000000","0.00693800"
"653","10221.32000000","0.00110700"
"654","10221.21000000","0.00146700"
"655","10221.16000000","0.01440000"
"656","10221.07000000","0.01440000"
"657","10221.06000000","0.00107700"
"658","10221.05000000","0.01000000"
"659","10221.02000000","0.00162000"
"660","10221.01000000","0.04068200"
"661","10221.00000000","0.81642000"
"662","10220.89000000","0.01439600"
"663","10220.33000000","0.05000000"
"664","10220.08000000","0.00146300"
"665","10220.00000000","5.13470500"
"666","10219.99000000","0.01444600"
"667","10219.84000000","0.00137900"
"668","10219.73000000","0.00195400"
"669","10219.55000000","0.00110000"
"670","10219.51000000","0.00097900"
"671","10219.43000000","0.01443100"
"672","10218.95000000","0.01957100"
"673","10218.91000000","1.62000000"
"674","10218.75000000","0.00113400"
"675","10218.55000000","0.01821700"
"676","10218.44000000","0.02654000"
"677","10218.23000000","0.01448500"
"678","10217.82000000","0.00134500"
"679","10217.69000000","0.00097900"
"680","10217.66000000","0.00127500"
"681","10217.34000000","0.02000000"
"682","10216.83000000","0.07073100"
"683","10216.80000000","0.00489400"
"684","10216.63000000","0.01455700"
"685","10216.57000000","0.00352000"
"686","10216.47000000","0.00106900"
"687","10216.43000000","0.00370600"
"688","10216.41000000","0.01914600"
"689","10216.34000000","0.01315300"
"690","10216.27000000","0.00117900"
"691","10216.21000000","0.00111200"
"692","10216.17000000","0.01455700"
"693","10215.99000000","0.01957700"
"694","10215.93000000","0.00344400"
"695","10215.79000000","0.01466700"
"696","10215.78000000","0.01466700"
"697","10215.73000000","0.00215100"
"698","10215.18000000","0.00230000"
"699","10215.16000000","0.00195700"
"700","10215.02000000","0.01189600"
"701","10215.00000000","0.05110900"
"702","10214.97000000","0.00131400"
"703","10214.82000000","0.00925700"
"704","10214.60000000","0.00150000"
"705","10214.50000000","0.01000000"
"706","10214.45000000","0.06429200"
"707","10214.32000000","0.01595200"
"708","10214.28000000","0.02682300"
"709","10214.22000000","0.01468600"
"710","10214.21000000","0.00120600"
"711","10214.19000000","0.00573900"
"712","10214.12000000","0.00647100"
"713","10214.00000000","0.03000000"
"714","10213.92000000","0.00100100"
"715","10213.75000000","0.01465900"
"716","10213.68000000","0.00983300"
"717","10213.52000000","0.01456900"
"718","10213.42000000","0.05091300"
"719","10213.41000000","0.01926100"
"720","10213.40000000","0.00747800"
"721","10213.27000000","0.00120000"
"722","10213.20000000","0.01000000"
"723","10213.12000000","0.01000000"
"724","10212.62000000","0.04888500"
"725","10212.59000000","0.03765800"
"726","10212.52000000","0.00110000"
"727","10212.43000000","0.00120700"
"728","10212.28000000","0.01472300"
"729","10212.13000000","0.00384100"
"730","10212.08000000","0.00549500"
"731","10212.07000000","0.00127500"
"732","10212.00000000","0.14364200"
"733","10211.93000000","0.01472300"
"734","10211.86000000","0.00682800"
"735","10211.66000000","0.00324800"
"736","10211.62000000","0.00130500"
"737","10211.52000000","0.00552000"
"738","10211.46000000","0.00195800"
"739","10211.41000000","0.00126300"
"740","10211.15000000","0.56800600"
"741","10211.14000000","0.00119200"
"742","10210.98000000","0.00195600"
"743","10210.92000000","0.19596800"
"744","10210.86000000","0.00489600"
"745","10210.78000000","0.00154700"
"746","10210.55000000","0.00168400"
"747","10210.47000000","0.00204100"
"748","10210.44000000","0.00864700"
"749","10210.36000000","2.30850000"
"750","10210.17000000","0.00964200"
"751","10210.00000000","2.84026400"
"752","10209.88000000","0.01489500"
"753","10209.49000000","0.00200000"
"754","10209.34000000","0.00320900"
"755","10209.17000000","0.00291700"
"756","10209.09000000","0.05357500"
"757","10208.97000000","0.00131100"
"758","10208.75000000","0.11739000"
"759","10208.70000000","0.01485600"
"760","10208.63000000","0.00110800"
"761","10208.56000000","0.00154600"
"762","10208.54000000","0.01370100"
"763","10208.44000000","0.01485600"
"764","10208.40000000","2.00000000"
"765","10208.35000000","0.27407900"
"766","10208.31000000","0.00361300"
"767","10208.26000000","0.00153100"
"768","10208.03000000","0.01490600"
"769","10207.76000000","0.01499800"
"770","10207.74000000","0.00389600"
"771","10207.66000000","0.00157200"
"772","10207.64000000","0.01500000"
"773","10207.58000000","0.00138100"
"774","10207.11000000","0.01490600"
"775","10207.05000000","0.00244900"
"776","10207.01000000","0.01490600"
"777","10207.00000000","0.00413900"
"778","10206.89000000","0.01000000"
"779","10206.88000000","0.00107800"
"780","10206.80000000","0.04259700"
"781","10206.54000000","0.00602400"
"782","10206.49000000","0.00127600"
"783","10206.13000000","0.00113100"
"784","10206.12000000","0.00344700"
"785","10206.00000000","0.00129300"
"786","10205.89000000","0.00102500"
"787","10205.81000000","0.01000000"
"788","10205.65000000","0.00156700"
"789","10205.61000000","1.00000000"
"790","10205.60000000","0.00947400"
"791","10205.56000000","0.11775500"
"792","10205.46000000","0.00134500"
"793","10205.30000000","0.00351800"
"794","10205.16000000","0.01262000"
"795","10205.12000000","0.00100000"
"796","10205.00000000","0.72441200"
"797","10204.76000000","0.00113500"
"798","10204.64000000","0.00265100"
"799","10204.58000000","0.00878200"
"800","10204.57000000","0.02055700"
"801","10204.15000000","0.00244900"
"802","10204.08000000","0.00310700"
"803","10204.07000000","0.04000000"
"804","10204.06000000","1.66080000"
"805","10204.03000000","0.00120100"
"806","10203.94000000","0.00377800"
"807","10203.77000000","0.02629500"
"808","10203.76000000","0.01945700"
"809","10203.58000000","0.04405800"
"810","10203.45000000","0.00202500"
"811","10203.34000000","0.00168800"
"812","10203.33000000","0.02058100"
"813","10203.17000000","0.01534400"
"814","10203.04000000","0.00098100"
"815","10202.98000000","0.00936800"
"816","10202.95000000","0.02275100"
"817","10202.91000000","0.00545000"
"818","10202.53000000","0.00150000"
"819","10202.23000000","0.01730200"
"820","10201.91000000","0.00131600"
"821","10201.76000000","0.01534400"
